CRIM,NOX,RM,RAD,PTRATIO,B,MEDV
0.36894,0.431,8.259,7.0,19.1,396.9,42.8
0.04819,0.392,6.108,1.0,16.4,392.89,21.9
0.03548,0.392,5.876,1.0,16.4,395.18,20.9
0.01538,0.394,7.454,3.0,15.9,386.34,44.0
0.61154,0.647,8.704,5.0,13.0,389.7,50.0
0.66351,0.647,7.333,5.0,13.0,383.29,36.0
0.65665,0.647,6.842,5.0,13.0,391.93,30.1
0.54011,0.647,7.203,5.0,13.0,392.8,33.8
0.53412,0.647,7.52,5.0,13.0,388.37,43.1
0.52014,0.647,8.398,5.0,13.0,386.86,48.8
0.82526,0.647,7.327,5.0,13.0,393.42,31.0
0.55007,0.647,7.206,5.0,13.0,387.89,36.5
0.76162,0.647,5.56,5.0,13.0,392.4,22.8
0.7857,0.647,7.014,5.0,13.0,384.07,30.7
0.57834,0.575,8.297,5.0,13.0,384.54,50.0
0.5405,0.575,7.47,5.0,13.0,390.3,43.5
0.09065,0.464,5.92,3.0,18.6,391.34,20.7
0.29916,0.464,5.856,3.0,18.6,388.65,21.1
0.16211,0.464,6.24,3.0,18.6,396.9,25.2
0.1146,0.464,6.538,3.0,18.6,394.96,24.4
0.22188,0.464,7.691,3.0,18.6,390.77,35.2
0.05644,0.447,6.758,4.0,17.6,396.9,32.4
0.09604,0.447,6.854,4.0,17.6,396.9,32.0
0.10469,0.447,7.267,4.0,17.6,389.25,33.2
0.06127,0.447,6.826,4.0,17.6,393.45,33.1
0.07978,0.447,6.482,4.0,17.6,396.9,29.1
0.21038,0.4429,6.812,5.0,14.9,396.9,35.1
0.03578,0.4429,7.82,5.0,14.9,387.31,45.4
0.03705,0.4429,6.968,5.0,14.9,392.23,35.4
0.06129,0.4429,7.645,5.0,14.9,377.07,46.0
0.01501,0.401,7.923,1.0,13.6,395.52,50.0
0.00906,0.4,7.088,1.0,15.3,394.72,32.2
0.01096,0.389,6.453,1.0,15.3,394.72,22.0
0.01965,0.385,6.23,1.0,18.2,341.6,20.1
0.03871,0.405,6.209,6.0,16.6,396.9,23.2
0.0459,0.405,6.315,6.0,16.6,396.9,22.3
0.04297,0.405,6.565,6.0,16.6,371.72,24.8
0.03502,0.411,6.861,4.0,19.2,396.9,28.5
0.07886,0.411,7.148,4.0,19.2,396.9,37.3
0.03615,0.411,6.63,4.0,19.2,396.9,27.9
0.08265,0.437,6.127,4.0,16.0,396.9,23.9
0.08199,0.437,6.009,4.0,16.0,396.9,21.7
0.12932,0.437,6.678,4.0,16.0,396.9,28.6
0.05372,0.437,6.549,4.0,16.0,392.85,27.1
0.14103,0.437,5.79,4.0,16.0,396.9,20.3
0.06466,0.4,6.345,5.0,14.8,368.24,22.5
0.05561,0.4,7.041,5.0,14.8,371.58,29.0
0.04417,0.4,6.871,5.0,14.8,390.86,24.8
0.03537,0.433,6.59,7.0,16.1,395.75,22.0
0.09266,0.433,6.495,7.0,16.1,383.61,26.4
0.1,0.433,6.982,7.0,16.1,390.43,33.1
0.05515,0.472,7.236,7.0,18.4,393.68,36.1
0.05479,0.472,6.616,7.0,18.4,393.36,28.4
0.07503,0.472,7.42,7.0,18.4,396.9,33.4
0.04932,0.472,6.849,7.0,18.4,396.9,28.2
0.49298,0.544,6.635,4.0,18.4,396.9,22.8
0.3494,0.544,5.972,4.0,18.4,396.24,20.3
2.63548,0.544,4.973,4.0,18.4,350.45,16.1
0.79041,0.544,6.122,4.0,18.4,396.9,22.1
0.26169,0.544,6.023,4.0,18.4,396.3,19.4
0.26938,0.544,6.266,4.0,18.4,393.39,21.6
0.3692,0.544,6.567,4.0,18.4,395.69,23.8
0.25356,0.544,5.705,4.0,18.4,396.42,16.2
0.31827,0.544,5.914,4.0,18.4,390.7,17.8
0.24522,0.544,5.782,4.0,18.4,396.9,19.8
0.40202,0.544,6.382,4.0,18.4,395.21,23.1
0.47547,0.544,6.113,4.0,18.4,396.23,21.0
0.1676,0.493,6.426,5.0,19.6,396.9,23.8
0.18159,0.493,6.376,5.0,19.6,396.9,23.1
0.35114,0.493,6.041,5.0,19.6,396.9,20.4
0.28392,0.493,5.708,5.0,19.6,391.13,18.5
0.34109,0.493,6.415,5.0,19.6,396.9,25.0
0.19186,0.493,6.431,5.0,19.6,393.68,24.6
0.30347,0.493,6.312,5.0,19.6,396.9,23.0
0.24103,0.493,6.083,5.0,19.6,396.9,22.2
0.06617,0.46,5.868,4.0,16.9,382.44,19.3
0.06724,0.46,6.333,4.0,16.9,375.21,22.6
0.04544,0.46,6.144,4.0,16.9,368.57,19.8
0.05023,0.4379,5.706,1.0,16.9,394.02,17.1
0.03466,0.4379,6.031,1.0,16.9,362.25,19.4
0.05083,0.515,6.316,5.0,20.2,389.71,22.2
0.03738,0.515,6.31,5.0,20.2,389.4,20.7
0.03961,0.515,6.037,5.0,20.2,396.9,21.1
0.03427,0.515,5.869,5.0,20.2,396.9,19.5
0.03041,0.515,5.895,5.0,20.2,394.81,18.5
0.03306,0.515,6.059,5.0,20.2,396.14,20.6
0.05497,0.515,5.985,5.0,20.2,396.9,19.0
0.06151,0.515,5.968,5.0,20.2,396.9,18.7
0.01301,0.442,7.241,1.0,15.5,394.74,32.7
0.02498,0.518,6.54,1.0,15.9,389.96,16.5
0.02543,0.484,6.696,5.0,17.6,396.9,23.9
0.03049,0.484,6.874,5.0,17.6,387.97,31.2
0.03113,0.442,6.014,3.0,18.8,385.64,17.5
0.06162,0.442,5.898,3.0,18.8,364.61,17.2
0.0187,0.429,6.516,4.0,17.9,392.43,23.1
0.01501,0.435,6.635,4.0,17.0,390.94,24.5
0.02899,0.429,6.939,1.0,19.7,389.85,26.6
0.06211,0.429,6.49,1.0,19.7,396.9,22.9
0.0795,0.411,6.579,4.0,18.3,370.78,24.1
0.07244,0.411,5.884,4.0,18.3,392.33,18.6
0.01709,0.41,6.728,5.0,17.0,384.46,30.1
0.04301,0.413,5.663,4.0,22.0,382.8,18.2
0.10659,0.413,5.936,4.0,22.0,376.04,20.6
8.98296,0.77,6.212,24.0,20.2,377.73,17.8
3.8497,0.77,6.395,24.0,20.2,391.34,21.7
5.20177,0.77,6.127,24.0,20.2,395.43,22.7
4.26131,0.77,6.112,24.0,20.2,390.74,22.6
4.54192,0.77,6.398,24.0,20.2,374.56,25.0
3.83684,0.77,6.251,24.0,20.2,350.65,19.9
3.67822,0.77,5.362,24.0,20.2,380.79,20.8
4.22239,0.77,5.803,24.0,20.2,353.04,16.8
3.47428,0.718,8.78,24.0,20.2,354.55,21.9
4.55587,0.718,3.561,24.0,20.2,354.7,27.5
3.69695,0.718,4.963,24.0,20.2,316.03,21.9
13.5222,0.631,3.863,24.0,20.2,131.42,23.1
4.89822,0.631,4.97,24.0,20.2,375.52,50.0
5.66998,0.631,6.683,24.0,20.2,375.33,50.0
6.53876,0.631,7.016,24.0,20.2,392.05,50.0
9.2323,0.631,6.216,24.0,20.2,366.15,50.0
8.26725,0.668,5.875,24.0,20.2,347.88,50.0
11.1081,0.668,4.906,24.0,20.2,396.9,13.8
18.4982,0.668,4.138,24.0,20.2,396.9,13.8
19.6091,0.671,7.313,24.0,20.2,396.9,15.0
15.288,0.671,6.649,24.0,20.2,363.02,13.9
9.82349,0.671,6.794,24.0,20.2,396.9,13.3
23.6482,0.671,6.38,24.0,20.2,396.9,13.1
17.8667,0.671,6.223,24.0,20.2,393.74,10.2
88.9762,0.671,6.968,24.0,20.2,396.9,10.4
15.8744,0.671,6.545,24.0,20.2,396.9,10.9
9.18702,0.7,5.536,24.0,20.2,396.9,11.3
7.99248,0.7,5.52,24.0,20.2,396.9,12.3
20.0849,0.7,4.368,24.0,20.2,285.83,8.8
16.8118,0.7,5.277,24.0,20.2,396.9,7.2
24.3938,0.7,4.652,24.0,20.2,396.9,10.5
22.5971,0.7,5.0,24.0,20.2,396.9,7.4
14.3337,0.7,4.88,24.0,20.2,372.92,10.2
8.15174,0.7,5.39,24.0,20.2,396.9,11.5
6.96215,0.7,5.713,24.0,20.2,394.43,15.1
5.29305,0.7,6.051,24.0,20.2,378.38,23.2
11.5779,0.7,5.036,24.0,20.2,396.9,9.7
8.64476,0.693,6.193,24.0,20.2,396.9,13.8
13.3598,0.693,5.887,24.0,20.2,396.9,12.7
8.71675,0.693,6.471,24.0,20.2,391.98,13.1
5.87205,0.693,6.405,24.0,20.2,396.9,12.5
7.67202,0.693,5.747,24.0,20.2,393.1,8.5
38.3518,0.693,5.453,24.0,20.2,396.9,5.0
9.91655,0.693,5.852,24.0,20.2,338.16,6.3
25.0461,0.693,5.987,24.0,20.2,396.9,5.6
14.2362,0.693,6.343,24.0,20.2,396.9,7.2
9.59571,0.693,6.404,24.0,20.2,376.11,12.1
24.8017,0.693,5.349,24.0,20.2,396.9,8.3
41.5292,0.693,5.531,24.0,20.2,329.46,8.5
67.9208,0.693,5.683,24.0,20.2,384.97,5.0
20.7162,0.659,4.138,24.0,20.2,370.22,11.9
11.9511,0.659,5.608,24.0,20.2,332.09,27.9
7.40389,0.597,5.617,24.0,20.2,314.64,17.2
14.4383,0.597,6.852,24.0,20.2,179.36,27.5
51.1358,0.597,5.757,24.0,20.2,2.6,15.0
14.0507,0.597,6.657,24.0,20.2,35.05,17.2
18.811,0.597,4.628,24.0,20.2,28.79,17.9
28.6558,0.597,5.155,24.0,20.2,210.97,16.3
45.7461,0.693,4.519,24.0,20.2,88.27,7.0
18.0846,0.679,6.434,24.0,20.2,27.25,7.2
10.8342,0.679,6.782,24.0,20.2,21.57,7.5
25.9406,0.679,5.304,24.0,20.2,127.36,10.4
73.5341,0.679,5.957,24.0,20.2,16.45,8.8
11.8123,0.718,6.824,24.0,20.2,48.45,8.4
11.0874,0.718,6.411,24.0,20.2,318.75,16.7
7.02259,0.718,6.006,24.0,20.2,319.98,14.2
12.0482,0.614,5.648,24.0,20.2,291.55,20.8
7.05042,0.614,6.103,24.0,20.2,2.52,13.4
8.79212,0.584,5.565,24.0,20.2,3.65,11.7
15.8603,0.679,5.896,24.0,20.2,7.68,8.3
12.2472,0.584,5.837,24.0,20.2,24.65,10.2
37.6619,0.679,6.202,24.0,20.2,18.82,10.9
7.36711,0.679,6.193,24.0,20.2,96.73,11.0
9.33889,0.679,6.38,24.0,20.2,60.72,9.5
8.49213,0.584,6.348,24.0,20.2,83.45,14.5
10.0623,0.584,6.833,24.0,20.2,81.33,14.1
6.44405,0.584,6.425,24.0,20.2,97.95,16.1
5.58107,0.713,6.436,24.0,20.2,100.19,14.3
13.9134,0.713,6.208,24.0,20.2,100.63,11.7
11.1604,0.74,6.629,24.0,20.2,109.85,13.4
14.4208,0.74,6.461,24.0,20.2,27.49,9.6
15.1772,0.74,6.152,24.0,20.2,9.32,8.7
13.6781,0.74,5.935,24.0,20.2,68.95,8.4
9.39063,0.74,5.627,24.0,20.2,396.9,12.8
22.0511,0.74,5.818,24.0,20.2,391.45,10.5
9.72418,0.74,6.406,24.0,20.2,385.96,17.1
5.66637,0.74,6.219,24.0,20.2,395.69,18.4
9.96654,0.74,6.485,24.0,20.2,386.73,15.4
12.8023,0.74,5.854,24.0,20.2,240.52,10.8
10.6718,0.74,6.459,24.0,20.2,43.06,11.8
6.28807,0.74,6.341,24.0,20.2,318.01,14.9
9.92485,0.74,6.251,24.0,20.2,388.52,12.6
9.32909,0.713,6.185,24.0,20.2,396.9,14.1
7.52601,0.713,6.417,24.0,20.2,304.21,13.0
6.71772,0.713,6.749,24.0,20.2,0.32,13.4
5.44114,0.713,6.655,24.0,20.2,355.29,15.2
5.09017,0.713,6.297,24.0,20.2,385.09,16.1
8.24809,0.713,7.393,24.0,20.2,375.87,17.8
9.51363,0.713,6.728,24.0,20.2,6.68,14.9
4.75237,0.713,6.525,24.0,20.2,50.92,14.1
4.66883,0.713,5.976,24.0,20.2,10.48,12.7
8.20058,0.713,5.936,24.0,20.2,3.5,13.5
7.75223,0.713,6.301,24.0,20.2,272.21,14.9
6.80117,0.713,6.081,24.0,20.2,396.9,20.0
4.81213,0.713,6.701,24.0,20.2,255.23,16.4
3.69311,0.713,6.376,24.0,20.2,391.43,17.7
6.65492,0.713,6.317,24.0,20.2,396.9,19.5
5.82115,0.713,6.513,24.0,20.2,393.82,20.2
7.83932,0.655,6.209,24.0,20.2,396.9,21.4
3.1636,0.655,5.759,24.0,20.2,334.4,19.9
3.77498,0.655,5.952,24.0,20.2,22.01,19.0
4.42228,0.584,6.003,24.0,20.2,331.29,19.1
15.5757,0.58,5.926,24.0,20.2,368.74,19.1
13.0751,0.58,5.713,24.0,20.2,396.9,20.1
4.34879,0.58,6.167,24.0,20.2,396.9,19.9
4.03841,0.532,6.229,24.0,20.2,395.33,19.6
3.56868,0.58,6.437,24.0,20.2,393.37,23.2
4.64689,0.614,6.98,24.0,20.2,374.68,29.8
8.05579,0.584,5.427,24.0,20.2,352.58,13.8
6.39312,0.584,6.162,24.0,20.2,302.76,13.3
4.87141,0.614,6.484,24.0,20.2,396.21,16.7
15.0234,0.614,5.304,24.0,20.2,349.48,12.0
10.233,0.614,6.185,24.0,20.2,379.7,14.6
14.3337,0.614,6.229,24.0,20.2,383.32,21.4
5.82401,0.532,6.242,24.0,20.2,396.9,23.0
5.70818,0.532,6.75,24.0,20.2,393.07,23.7
5.73116,0.532,7.061,24.0,20.2,395.28,25.0
2.81838,0.532,5.762,24.0,20.2,392.92,21.8
2.37857,0.583,5.871,24.0,20.2,370.73,20.6
3.67367,0.583,6.312,24.0,20.2,388.62,21.2
5.69175,0.583,6.114,24.0,20.2,392.68,19.1
4.83567,0.583,5.905,24.0,20.2,388.22,20.6
0.15086,0.609,5.454,4.0,20.1,395.09,15.2
0.18337,0.609,5.414,4.0,20.1,344.05,7.0
0.20746,0.609,5.093,4.0,20.1,318.43,8.1
0.10574,0.609,5.983,4.0,20.1,390.11,13.6
0.11132,0.609,5.983,4.0,20.1,396.9,20.1
0.17331,0.585,5.707,6.0,19.2,396.9,21.8
0.27957,0.585,5.926,6.0,19.2,396.9,24.5
0.17899,0.585,5.67,6.0,19.2,393.29,23.1
0.2896,0.585,5.39,6.0,19.2,396.9,19.7
0.26838,0.585,5.794,6.0,19.2,396.9,18.3
0.23912,0.585,6.019,6.0,19.2,396.9,21.2
0.17783,0.585,5.569,6.0,19.2,395.77,17.5
0.22438,0.585,6.027,6.0,19.2,396.9,16.8
0.06263,0.573,6.593,1.0,21.0,391.99,22.4
0.04527,0.573,6.12,1.0,21.0,396.9,20.6
0.06076,0.573,6.976,1.0,21.0,396.9,23.9
0.10959,0.573,6.794,1.0,21.0,393.45,22.0
0.04741,0.573,6.03,1.0,21.0,396.9,11.9
